date,temp,pm10,o3
1987-01-01,14.72222222,26.95607373,4.376079071
1987-01-03,15.55555556,32.83869495,3.751079071
1987-01-04,13.33333333,39.95607373,4.292745731
1987-01-06,19.44444444,40.95607373,6.334412401
1987-01-07,16.38888889,33.95607373,8.594018961
1987-01-08,13.33333333,28.95607373,11.79788968
1987-01-09,11.94444444,32.3487708,3.876079071
1987-01-11,13.61111111,14.95607374,18.25622301
1987-01-12,16.38888889,18.95607374,8.339556351
1987-01-13,16.11111111,45.95607373,6.922889681
1987-01-14,18.05555556,35.95607373,5.339556351
1987-01-15,15.27777778,26.93720102,5.256223011
1987-01-16,11.11111111,11.95607374,8.964556351
1987-01-18,6.944444444,31.95607373,6.964556351
1987-01-19,10,24.95607373,16.3344124
1987-01-20,8.611111111,30.95607373,5.554803271
1987-01-21,9.444444444,31.98796517,6.975093131
1987-01-22,8.055555556,44.95607373,11.33955635
1987-01-23,-1.388888889,47.95607373,16.04274573
1987-01-24,-1.666666667,30.95607373,11.7094124
1987-01-26,6.111111111,63.95607373,5.209412401
1987-01-27,6.944444444,36.31814626,4.131223011
1987-01-28,13.61111111,39.95607373,7.251079071
1987-01-29,13.61111111,27.95607373,3.900162411
1987-01-30,15.27777778,51.95607373,9.381223011
1987-01-31,12.5,28.95607373,8.721469941
1987-02-02,17.5,40.2284865,4.013136611
1987-02-03,16.11111111,51.95607373,8.797889681
1987-02-04,14.72222222,31.31939761,10.13467981
1987-02-05,13.61111111,62.95607373,4.801346481
1987-02-06,17.77777778,55.95607373,5.144643581
1987-02-07,19.72222222,36.95607373,4.738846481
1987-02-08,15.27777778,17.24003306,24.46801314
1987-02-09,10.83333333,34.95607373,8.655513141
1987-02-10,16.66666667,28.95607373,7.468013141
1987-02-11,19.16666667,75.95607373,7.081896541
1987-02-12,16.11111111,76.95607373,6.488846481
1987-02-13,16.38888889,31.95607373,9.726165321
1987-02-14,14.72222222,22.47215493,10.46801314
1987-02-15,10.27777778,4.956073737,27.63467981
1987-02-16,10.55555556,6.956073737,23.71801314
1987-02-17,14.72222222,15.95607374,24.46801314
1987-02-18,14.72222222,19.95607374,23.700803
1987-02-19,16.11111111,41.95607373,15.05315807
1987-02-20,15.27777778,67.48931288,7.759679811
1987-02-21,18.33333333,51.95607373,3.113846481
1987-02-22,16.94444444,38.95607373,10.17634648
1987-02-23,16.94444444,39.95607373,12.61384648
1987-02-24,14.72222222,40.95607373,12.42634648
1987-02-25,16.38888889,40.95607373,16.71801314
1987-02-26,17.22222222,27.20442696,15.61384648
